strain,location,collection_date,ID,serum,antigenic_distance,Tree_model_log2,Subs_model_log2
B/Reims/1624/2012,France,2012-10-22,EPI416270,B/Brisbane/60/2008,2.1,1.05,0.43
B/Estonia/77361/2013,Estonia,2013-04-05,EPI467118,B/Brisbane/60/2008,1.9,0.92,0.0
B/Jordan/30306/2013,Jordan,2013-04-25,EPI468060,B/Brisbane/60/2008,1.9,0.89,0.0
B/Jordan/30266/2013,Jordan,2013-04-10,EPI468054,B/Brisbane/60/2008,1.9,0.89,0.0
B/Jordan/30242/2013,Jordan,2013-03-31,EPI468046,B/Brisbane/60/2008,1.9,0.89,0.0
B/Jordan/30306/2013,Jordan,2013-04-25,EPI468060,B/Brisbane/60/2008,1.9,0.89,0.0
B/Jordan/30242/2013,Jordan,2013-03-31,EPI468046,B/Brisbane/60/2008,1.9,0.89,0.0
B/Jordan/30242/2013,Jordan,2013-03-31,EPI468046,B/Brisbane/60/2008,1.9,0.89,0.0
B/Jordan/30187/2013,Jordan,2013-03-11,EPI468044,B/Brisbane/60/2008,1.9,0.89,0.0
B/Jordan/30244/2013,Jordan,2013-04-01,EPI468048,B/Brisbane/60/2008,1.9,0.89,0.0
B/Jordan/30250/2013,Jordan,2013-04-06,EPI468050,B/Brisbane/60/2008,1.9,0.89,0.0
B/Jordan/20440/2012,Jordan,2012-12-10,EPI417747,B/Brisbane/60/2008,1.9,0.89,0.0
B/Jordan/20440/2012,Jordan,2012-12-10,EPI417747,B/Brisbane/60/2008,1.9,0.89,0.0
B/Jordan/20440/2012,Jordan,2012-12-10,EPI417747,B/Brisbane/60/2008,1.9,0.89,0.0
B/Jordan/20440/2012,Jordan,2012-12-10,EPI417747,B/Brisbane/60/2008,1.9,0.89,0.0
B/Switzerland/5867933/2012,Switzerland,2012-01-20,EPI357700,B/Brisbane/60/2008,1.9,0.89,0.0
B/England/22/2013,United Kingdom,2013-01-02,EPI445935,B/Brisbane/60/2008,2.2,1.21,0.0
B/Tbilisi/524/2013,Georgia Country,2013-02-20,EPI461926,B/Brisbane/60/2008,1.9,0.86,0.0
B/Tbilisi/524/2013,Georgia Country,2013-02-20,EPI461926,B/Brisbane/60/2008,1.9,0.86,0.0
B/Georgia/655/2012,U S A,2012-04-12,EPI387451,B/Brisbane/60/2008,1.9,0.86,0.0
B/Tbilisi/524/2013,Georgia Country,2013-02-20,EPI461926,B/Brisbane/60/2008,1.9,0.86,0.0
B/Kutaisi/384/2013,Georgia Country,2013-02-14,EPI461910,B/Brisbane/60/2008,1.9,0.86,0.0
B/Kutaisi/384/2013,Georgia Country,2013-02-14,EPI461910,B/Brisbane/60/2008,1.9,0.86,0.0
B/BuenosAires/R146/2012,Argentina,2012-07-01,EPI406240,B/Brisbane/60/2008,2.2,1.15,0.0
B/Ozirgeti/542/2013,Georgia Country,2013-02-19,EPI461914,B/Brisbane/60/2008,1.9,0.86,0.0
B/Ozirgeti/542/2013,Georgia Country,2013-02-19,EPI461914,B/Brisbane/60/2008,1.9,0.86,0.0
B/BuenosAires/R146/2012,Argentina,2012-07-01,EPI406240,B/Brisbane/60/2008,2.2,1.15,0.0
B/Milano/03/2012,Italy,2012-02-16,EPI387455,B/Brisbane/60/2008,2.2,1.15,0.0
B/Norway/2429/2011,Norway,2011-12-14,EPI352436,B/Brisbane/60/2008,2.2,1.15,0.0
B/Milano/03/2012,Italy,2012-02-16,EPI387455,B/Brisbane/60/2008,2.2,1.15,0.0
B/Milano/03/2012,Italy,2012-02-16,EPI387455,B/Brisbane/60/2008,2.2,1.15,0.0
B/Denmark/15/2012,Denmark,2012-04-16,EPI379916,B/Brisbane/60/2008,2.5,1.5,0.0
B/Praha/52/2012,Czech Republic,2012-02-01,EPI377726,B/Brisbane/60/2008,2.5,1.51,0.0
B/Vsetin/51/2012,Unknown,2012-10-01,EPI377722,B/Brisbane/60/2008,2.5,1.51,0.0
B/Praha/90/2012,Czech Republic,2012-10-01,EPI377730,B/Brisbane/60/2008,2.5,1.51,0.0
B/HongKong/3546/2012,Hong Kong,2012-05-13,EPI392585,B/Brisbane/60/2008,1.6,0.63,0.0
B/Austria/653113/2012,Austria,2012-01-01,EPI357732,B/Brisbane/60/2008,2.2,1.19,0.0
B/HongKong/3546/2012,Hong Kong,2012-05-13,EPI392585,B/Brisbane/60/2008,1.6,0.63,0.0
B/HongKong/3546/2012,Hong Kong,2012-05-13,EPI392585,B/Brisbane/60/2008,1.6,0.63,0.0
B/Austria/723800/2013,Austria,2013-03-07,EPI467102,B/Brisbane/60/2008,2.2,1.23,0.0
B/Austria/723800/2013,Austria,2013-03-07,EPI467102,B/Brisbane/60/2008,2.2,1.23,0.0
B/Austria/723800/2013,Austria,2013-03-07,EPI467102,B/Brisbane/60/2008,2.2,1.23,0.0
B/Austria/723800/2013,Austria,2013-03-07,EPI467102,B/Brisbane/60/2008,2.2,1.23,0.0
B/Switzerland/5632623/2011,Switzerland,2011-11-21,EPI357702,B/Brisbane/60/2008,2.2,1.23,0.0
B/HongKong/6/2013,Hong Kong,2013-01-07,EPI431338,B/Brisbane/60/2008,1.7,0.73,0.0
B/HongKong/6/2013,Hong Kong,2013-01-07,EPI431338,B/Brisbane/60/2008,1.7,0.73,0.0
B/HongKong/6/2013,Hong Kong,2013-01-07,EPI431338,B/Brisbane/60/2008,1.7,0.73,0.0
B/PaysdeLoire/1240/2012,France,2012-04-03,EPI392618,B/Brisbane/60/2008,1.7,0.73,0.0
B/Trnava/783/2013,Slovakia,2013-03-05,EPI464785,B/Brisbane/60/2008,1.6,0.63,0.0
B/Trnava/783/2013,Slovakia,2013-03-05,EPI464785,B/Brisbane/60/2008,1.6,0.63,0.0
B/HauteNormandie/1452/2013,France,2013-03-23,EPI465877,B/Brisbane/60/2008,2.1,1.11,0.0
B/Lyon/2760/2012,France,2012-12-17,EPI416459,B/Brisbane/60/2008,2.1,1.11,0.0
B/Lyon/2760/2012,France,2012-12-17,EPI416459,B/Brisbane/60/2008,2.1,1.11,0.0
B/Ireland/00125/2013,Ireland,2013-01-03,EPI431342,B/Brisbane/60/2008,1.6,0.63,0.0
B/SouthAustralia/81/2012,Australia,2012-11-28,EPI566499,B/Brisbane/60/2008,1.6,0.63,0.0
B/SouthAustralia/81/2012,Australia,2012-11-28,EPI566499,B/Brisbane/60/2008,1.6,0.63,0.0
B/Firenze/3/2013,Italy,2013-01-21,EPI464733,B/Brisbane/60/2008,1.6,0.63,0.0
B/Firenze/3/2013,Italy,2013-01-21,EPI464733,B/Brisbane/60/2008,1.6,0.63,0.0
B/Firenze/3/2013,Italy,2013-01-21,EPI464733,B/Brisbane/60/2008,1.6,0.63,0.0
B/Praha/27/2012,Czech Republic,2012-10-01,EPI377724,B/Brisbane/60/2008,1.6,0.63,0.0
