strain,location,collection_date,ID,serum,antigenic_distance,Tree_model_log2,Subs_model_log2
B/Johannesburg/439/2006,South Africa,2006-06-18,EPI123937,B/Massachusetts/02/2012,1.0,1.13,0.54
B/Christchurch/33/2004,New Zealand,2004-08-30,EPI482000,B/Massachusetts/02/2012,1.0,1.13,0.54
B/Johannesburg/439/2006,South Africa,2006-06-18,EPI123937,B/Massachusetts/02/2012,1.0,1.13,0.54
B/NewYork/47/2001,U S A,2001-10-01,EPI15338,B/Massachusetts/02/2012,1.0,1.13,0.54
B/Taiwan/52/2004,Taiwan,2004-05-01,EPI110542,B/Massachusetts/02/2012,1.9,2.09,1.21
B/Taiwan/635/2005,Taiwan,2005-03-01,EPI110530,B/Massachusetts/02/2012,1.2,1.37,1.21
B/Taiwan/635/2005,Taiwan,2005-03-01,EPI110530,B/Massachusetts/02/2012,1.2,1.37,1.21
B/Taiwan/81/2005,Taiwan,2005-03-01,EPI110528,B/Massachusetts/02/2012,1.2,1.37,1.21
B/Victoria/508/2004,Australia,2004-09-10,EPI484869,B/Massachusetts/02/2012,1.2,1.37,1.21
B/Victoria/508/2004,Australia,2004-09-10,EPI484869,B/Massachusetts/02/2012,1.2,1.37,1.21
B/Ningbo/1199/2004,China,2004-10-25,EPI165758,B/Massachusetts/02/2012,1.2,1.37,1.21
B/Taiwan/165/2005,Taiwan,2005-01-01,EPI110560,B/Massachusetts/02/2012,1.2,1.37,1.49
B/Soligorsk/140/2007,Belarus,2007-02-12,EPI155683,B/Massachusetts/02/2012,1.0,1.18,0.63
B/Brisbane/4/2004,Australia,2004-09-11,EPI482047,B/Massachusetts/02/2012,1.0,1.18,0.54
B/Bangkok/460/2003,Thailand,2003-06-01,EPI13611,B/Massachusetts/02/2012,1.0,1.18,0.54
B/Taiwan/102/2005,Taiwan,2005-11-01,EPI110506,B/Massachusetts/02/2012,1.0,1.18,1.49
B/Taiwan/43/2005,Taiwan,2005-01-01,EPI110508,B/Massachusetts/02/2012,1.0,1.18,1.21
B/Taiwan/43/2005,Taiwan,2005-01-01,EPI110508,B/Massachusetts/02/2012,1.0,1.18,1.21
B/Jinlin/20/2003,China,2003-04-01,EPI157092,B/Massachusetts/02/2012,1.0,1.18,1.21
B/Jinlin/20/2003,China,2003-04-01,EPI157092,B/Massachusetts/02/2012,1.0,1.18,1.21
B/Jinlin/20/2003,China,2003-04-01,EPI157092,B/Massachusetts/02/2012,1.0,1.18,1.21
B/Jilin/20/2003,China,2003-05-01,EPI159930,B/Massachusetts/02/2012,1.0,1.18,1.21
B/Finland/231/2003,Finland,2003-12-01,EPI25203,B/Massachusetts/02/2012,1.0,1.18,1.21
B/Finland/231/2003,Finland,2003-12-01,EPI25203,B/Massachusetts/02/2012,1.0,1.18,1.21
B/Finland/231/2003,Finland,2003-12-01,EPI25203,B/Massachusetts/02/2012,1.0,1.18,1.21
B/HongKong/309/2003,Hong Kong,2003-02-26,EPI157011,B/Massachusetts/02/2012,1.0,1.18,1.21
B/Malaysia/24651/2003,Malaysia,2003-03-31,EPI374335,B/Massachusetts/02/2012,1.0,1.13,1.21
B/Hiroshima/23/2001,Japan,2001-04-01,EPI1051,B/Massachusetts/02/2012,0.3,1.76,0.54
B/Gangwon/192/2002,South Korea,2002-04-02,EPI156960,B/Massachusetts/02/2012,1.0,1.13,1.21
B/Victoria/341/2002,Australia,2002-05-08,EPI481840,B/Massachusetts/02/2012,1.0,1.13,1.21
B/Genoa/56/2002,Italy,2002-06-01,EPI17919,B/Massachusetts/02/2012,1.0,1.13,1.21
B/Kobe/87/2001,Japan,2001-10-01,EPI419,B/Massachusetts/02/2012,1.0,1.13,1.21
B/Taiwan/97271/2001,Taiwan,2001-12-10,EPI157221,B/Massachusetts/02/2012,0.3,1.76,0.54
B/Hiroshima/23/2001,Japan,2001-04-01,EPI1051,B/Massachusetts/02/2012,0.3,1.76,0.54
B/Osaka/1201/2000,Japan,2000-05-01,EPI311,B/Massachusetts/02/2012,0.3,1.76,1.21
B/Osaka/1201/2000,Japan,2000-05-01,EPI311,B/Massachusetts/02/2012,0.3,1.76,1.21
B/Osaka/1201/2000,Japan,2000-05-01,EPI311,B/Massachusetts/02/2012,0.3,1.76,1.21
B/Yamagata/K515/2001,Japan,2001-04-01,EPI927,B/Massachusetts/02/2012,0.3,1.76,1.21
B/Kadoma/506/1999,Zimbabwe,1999-03-01,EPI315,B/Massachusetts/02/2012,0.3,1.77,0.95
B/Beijing/76/1998,China,1998-02-01,EPI24801,B/Massachusetts/02/2012,0.3,1.77,1.49
B/Hong_Kong/65/1996,Hong Kong,1996-04-01,EPI4531,B/Massachusetts/02/2012,0.3,1.77,1.21
B/Hong_Kong/65/1996,Hong Kong,1996-04-01,EPI4531,B/Massachusetts/02/2012,0.3,1.77,1.21
B/Nanchang/20/1996,China,1996-07-01,EPI20734,B/Massachusetts/02/2012,0.3,1.77,1.21
B/Yamagata/K354/2001,Japan,2001-01-01,EPI909,B/Massachusetts/02/2012,1.0,3.05,1.38
B/Yamagata/K521/2001,Japan,2001-09-01,EPI933,B/Massachusetts/02/2012,1.0,3.05,1.38
B/Genoa/5/2002,Italy,2002-12-01,EPI236445,B/Massachusetts/02/2012,1.0,3.05,1.38
B/Trieste/09/2002,Italy,2002-10-01,EPI119826,B/Massachusetts/02/2012,1.0,3.05,1.38
B/Trieste/09/2002,Italy,2002-10-01,EPI119826,B/Massachusetts/02/2012,1.0,3.05,1.38
B/Trieste/09/2002,Italy,2002-10-01,EPI119826,B/Massachusetts/02/2012,1.0,3.05,1.38
B/Trieste/09/2002,Italy,2002-10-01,EPI119826,B/Massachusetts/02/2012,1.0,3.05,1.38
B/Genoa/48/2002,Italy,2002-09-01,EPI236443,B/Massachusetts/02/2012,1.0,3.05,1.38
B/Quebec/1/2001,Canada,2001-11-01,EPI12471,B/Massachusetts/02/2012,1.0,3.05,1.38
B/Quebec/7/2001,Canada,2001-07-01,EPI12481,B/Massachusetts/02/2012,1.0,3.05,1.38
B/Kobe/79/2001,Japan,2001-10-01,EPI415,B/Massachusetts/02/2012,1.0,3.05,1.38
B/Quebec/8/2001,Canada,2001-08-01,EPI12483,B/Massachusetts/02/2012,1.0,3.05,1.38
B/Quebec/6/2001,Canada,2001-12-01,EPI12479,B/Massachusetts/02/2012,1.0,3.05,1.38
B/Shizuoka/15/2001,Japan,2001-08-01,EPI1053,B/Massachusetts/02/2012,1.0,3.05,1.38
B/Shizuoka/15/2001,Japan,2001-08-01,EPI1053,B/Massachusetts/02/2012,1.0,3.05,1.38
B/Shizuoka/15/2001,Japan,2001-08-01,EPI1053,B/Massachusetts/02/2012,1.0,3.05,1.38
B/Shizuoka/15/2001,Japan,2001-08-01,EPI1053,B/Massachusetts/02/2012,1.0,3.05,1.38
B/Egypt/907137/2000,Egypt,2000-10-12,EPI156938,B/Massachusetts/02/2012,1.0,3.05,1.38
B/Quebec/4/2001,Canada,2001-10-01,EPI12477,B/Massachusetts/02/2012,1.0,3.05,1.66
B/Quebec/4/2001,Canada,2001-10-01,EPI12477,B/Massachusetts/02/2012,1.0,3.05,1.66
B/Houston/B66/2000,U S A,2000-03-10,EPI50245,B/Massachusetts/02/2012,1.0,3.05,1.38
B/Kobe/69/2001,Japan,2001-06-01,EPI413,B/Massachusetts/02/2012,1.0,3.05,1.38
B/Texas/1/2000,U S A,2000-09-01,EPI15316,B/Massachusetts/02/2012,1.0,3.05,1.38
B/BuenosAires/161/2000,Argentina,2000-04-01,EPI11268,B/Massachusetts/02/2012,1.0,3.05,1.17
B/MardelPlata/595/1999,Argentina,1999-02-01,EPI11260,B/Massachusetts/02/2012,1.0,3.05,1.38
B/Sichuan/379/1999,China,1999-05-01,EPI116951,B/Massachusetts/02/2012,0.6,2.72,1.38
B/Castro/6880/2000,Unknown,2000-07-12,EPI156899,B/Massachusetts/02/2012,0.6,2.72,1.38
