,week_startdate,year_week,year_month,season,time,ILI%,ILI_total,total_patients,total_samples_phl,H1pdm09_phl,H3N2_phl,H3N2v_phl,A_unspecified_phl,B_unspecified_phl,Victoria_phl,Yamagata_phl,total_samples_cli,A_unspecified_cli,B_unspecified_cli,total_samples,A_unspecified,B_unspecified,H1pdm09_estimate,H3N2_estimate,H3N2v_estimate,Victoria_estimate,Yamagata_estimate,positive_samples,positive_rate,H1N1,H3N2,H3N2v,Victoria,Yamagata,H1N1_proporation,H3N2_proporation,H3N2v_proporation,Victoria_proporation,Yamagata_proporation,population,H1N1_IR,H3N2_IR,Victoria_IR,Yamagata_IR,H1N1_IR_rolling,H3N2_IR_rolling,Victoria_IR_rolling,Yamagata_IR_rolling,BV_antigenic_rate,BV_antigenic_transition,BY_antigenic_rate,BY_antigenic_transition
20,2016-02-21,2016-8,2016-M2,2015-2016,2016.1538461538464,0.0311328379980158,26423,848718,4551,1672,232,0,28,215,156,383,30966,4410,1276,35517,4438,1491,3897.235294117647,540.7647058823529,0.0,431.53246753246754,1059.4675324675325,8372,0.2357181068220852,5569.235294117647,772.7647058823529,0.0,587.5324675324675,1442.4675324675325,0.6652216070374638,0.0923034765745763,0.0,0.0701782689360329,0.1722966474519269,322035525,1572105.859184312,218139.09050882797,165850.99854631798,407185.4643797422,1054902.7955601611,205308.66920513543,119885.33160261843,320717.57371023035,0.6972993657044533,0,0.9465325078888632,0
21,2016-02-28,2016-9,2016-M2,2015-2016,2016.173076923077,0.0332788194131901,28468,855439,4687,1886,313,0,32,211,143,347,33880,5523,1629,38567,5555,1840,4764.315597999091,790.6844020009096,0.0,536.9795918367347,1303.0204081632653,10084,0.2614670573288044,6650.315597999091,1103.6844020009096,0.0,679.9795918367347,1650.0204081632653,0.6594918284410046,0.1094490680286503,0.0,0.0674315342955905,0.1636275692347546,322035525,1847983.511581144,306690.79487004137,188952.09639434825,458506.1360058661,1373539.4244960342,245501.5590356523,147186.2013395614,389360.0258775823,0.6972993657044533,0,0.9465325078888632,0
22,2016-03-06,2016-10,2016-M3,2015-2016,2016.192307692308,0.0359179758386477,30481,848628,5095,2173,313,0,47,246,162,333,36781,6679,2018,41876,6726,2264,5879.162510056315,846.8374899436847,0.0,740.9454545454546,1523.0545454545454,11971,0.2858678001719362,8052.162510056315,1159.837489943685,0.0,902.9454545454546,1856.0545454545452,0.672639086964858,0.0968872683939257,0.0,0.0754277382462162,0.155045906395,322196377,2225255.313624194,320526.8813457767,249533.48471677,512929.940806694,1723502.1596184005,270976.8730702458,184018.12262270917,443457.3184231258,0.6972993657044533,0,0.9465325078888632,0
23,2016-03-13,2016-11,2016-M3,2015-2016,2016.2115384615383,0.0309262213211288,24894,804948,4111,1514,213,0,24,185,154,278,34233,5047,1790,38344,5071,1975,4445.566878980892,625.4331210191083,0.0,704.0509259259259,1270.949074074074,9205,0.2400636344669309,5959.566878980892,838.4331210191083,0.0,858.0509259259259,1548.949074074074,0.6474271460055286,0.0910845324301041,0.0,0.0932157442613716,0.1682725773029955,322196377,1548691.0695375244,217880.5797962304,222978.58773541023,402519.7882496365,1798508.9384817935,265809.3366302191,206828.7918482116,445285.3323604848,0.6972993657044533,0,0.9465325078888632,0
24,2016-03-20,2016-12,2016-M3,2015-2016,2016.2307692307693,0.0278802850549472,21940,786936,3357,1058,198,0,19,185,117,207,30161,3919,1652,33518,3938,1837,3317.200636942675,620.7993630573249,0.0,663.3611111111111,1173.6388888888887,7355,0.2194343337907989,4375.2006369426745,818.7993630573249,0.0,780.3611111111111,1380.6388888888887,0.5948607256210299,0.1113255422239734,0.0,0.1060994032781932,0.1877143288768034,322196377,1172567.1939737785,219440.74140530077,209139.17195377403,370015.4580720617,1698624.27217916,266134.74935433734,217650.83520007564,435992.8307835646,0.6972993657044533,0,0.9465325078888632,0
25,2016-03-27,2016-13,2016-M3,2015-2016,2016.25,0.0252371413269615,19603,776752,3071,807,180,0,33,208,127,211,27603,2965,1514,30674,2998,1722,2451.252279635258,546.7477203647417,0.0,647.0236686390532,1074.9763313609467,6045,0.1970724391993219,3258.252279635258,726.7477203647417,0.0,774.0236686390532,1285.9763313609467,0.5389995499810187,0.1202229479511566,0.0,0.128043617640869,0.2127338844269556,322196377,863724.237752423,192652.24633883047,205184.5424542877,340897.1532114544,1452559.45372198,237625.11222153457,221708.94671506048,406590.58508496167,0.6972993657044533,0,0.9465325078888632,0
26,2016-04-03,2016-14,2016-M4,2015-2016,2016.2692307692307,0.0212928055991863,16769,787543,2403,534,135,0,33,173,106,163,23979,1971,1390,26382,2004,1563,1599.6053811659192,404.3946188340807,0.0,615.903345724907,947.0966542750928,4505,0.1707603669168372,2133.6053811659194,539.3946188340807,0.0,721.903345724907,1110.096654275093,0.4736082977060864,0.1197324348133364,0.0,0.1602449158101902,0.2464143516703869,322368465,555126.3244666456,140340.92472471378,187826.46241426864,288827.48465590365,1035027.2064325928,192578.62306626883,206282.19113943516,350564.97104726406,0.6972993657044533,0,0.9465325078888632,0
27,2016-04-10,2016-15,2016-M4,2015-2016,2016.2884615384612,0.0205141597028783,16261,792672,2090,383,117,0,16,148,88,162,21683,1506,1364,23773,1522,1512,1165.852,356.148,0.0,532.2239999999999,979.776,3784,0.1591721701089471,1548.852,473.148,0.0,620.2239999999999,1141.776,0.409316067653277,0.1250391120507399,0.0,0.163906976744186,0.301737843551797,322368465,430856.0682420292,131619.2166692361,172532.47829317732,317616.60776698554,755568.4561087191,171013.28228452028,193670.6637788769,329339.17592660134,0.6972993657044533,0,0.9465325078888632,0
28,2016-04-17,2016-16,2016-M4,2015-2016,2016.3076923076924,0.0198957333144304,15437,775895,1816,276,127,0,16,158,86,163,19860,1123,1329,21676,1139,1487,780.059553349876,358.94044665012404,0.0,513.5823293172691,973.417670682731,3278,0.1512271636833364,1056.0595533498758,485.940446650124,0.0,599.5823293172691,1136.417670682731,0.3221658185936168,0.1482429672514106,0.0,0.1829110217563359,0.3466801923986367,322368465,312479.67161008966,143785.93584957023,177411.67036836685,336257.0031400441,540546.575517797,152099.58089558766,185738.78838252512,320899.56219359697,0.6972993657044533,0,0.9465325078888632,0
29,2016-04-24,2016-17,2016-M4,2015-2016,2016.326923076923,0.0178580417332987,13836,774777,1491,167,98,0,5,94,78,119,17970,701,1143,19461,706,1237,444.9132075471698,261.0867924528302,0.0,489.7766497461929,747.2233502538071,2405,0.1235804943219772,611.9132075471698,359.0867924528302,0.0,567.7766497461929,866.2233502538071,0.2544337661318793,0.1493084376103244,0.0,0.236081767046234,0.3601760292115622,322368465,181013.5389792226,106223.5138919989,167957.25186631535,256242.47400117345,369868.9008244969,130492.39778387976,176431.96573553205,299735.8923910267,0.6972993657044533,0,0.9465325078888632,0
