,combination,extinction_size
451,BY_y0.00_n0.47_r1.004,703.1197187389279
452,BY_y0.00_n0.48_r1.004,694.9550326141924
453,BY_y0.00_n0.49_r1.004,687.3004055957144
454,BY_y0.00_n0.50_r1.004,680.2430858089388
455,BY_y0.00_n0.51_r1.004,673.5274435391252
456,BY_y0.00_n0.52_r1.004,667.2641143507553
457,BY_y0.00_n0.53_r1.004,661.4595358846311
458,BY_y0.00_n0.54_r1.004,655.9816142777382
459,BY_y0.00_n0.55_r1.004,650.7932565268096
460,BY_y0.00_n0.56_r1.004,645.8885033050436
461,BY_y0.00_n0.57_r1.004,641.3169174336474
462,BY_y0.00_n0.58_r1.004,636.8905074355421
463,BY_y0.00_n0.59_r1.004,632.7741221419421
464,BY_y0.00_n0.60_r1.004,628.769789573869
465,BY_y0.00_n0.61_r1.004,624.9657961934485
466,BY_y0.00_n0.62_r1.004,621.4047717313174
467,BY_y0.00_n0.63_r1.004,617.9323697374954
468,BY_y0.00_n0.64_r1.004,614.7196966322276
469,BY_y0.00_n0.65_r1.004,611.590595197011
470,BY_y0.00_n0.66_r1.004,608.590360080662
471,BY_y0.00_n0.67_r1.004,605.6242384961947
472,BY_y0.00_n0.68_r1.004,602.8887972717005
473,BY_y0.00_n0.69_r1.004,600.2341945647987
474,BY_y0.00_n0.70_r1.004,597.7007613217593
475,BY_y0.00_n0.71_r1.004,595.2913613003954
476,BY_y0.00_n0.72_r1.004,592.8954272651513
477,BY_y0.00_n0.73_r1.004,590.5952322096225
478,BY_y0.00_n0.74_r1.004,588.4715510005497
479,BY_y0.00_n0.75_r1.004,586.3215645309152
480,BY_y0.00_n0.76_r1.004,584.3020099057452
481,BY_y0.00_n0.77_r1.004,582.3086964002068
482,BY_y0.00_n0.78_r1.004,580.3544134265098
483,BY_y0.00_n0.79_r1.004,578.5354684473652
484,BY_y0.00_n0.80_r1.004,576.7392740480284
485,BY_y0.00_n0.81_r1.004,575.0227353153973
486,BY_y0.00_n0.82_r1.004,573.3634509790004
487,BY_y0.00_n0.83_r1.004,571.6952330239443
488,BY_y0.00_n0.84_r1.004,570.1260331299771
489,BY_y0.00_n0.85_r1.004,568.6150076065514
490,BY_y0.00_n0.86_r1.004,567.1198997080123
491,BY_y0.00_n0.87_r1.004,565.67492558139
492,BY_y0.00_n0.88_r1.004,564.3199992130526
493,BY_y0.00_n0.89_r1.004,562.9642967044865
494,BY_y0.00_n0.90_r1.004,561.5788672757685
495,BY_y0.00_n0.91_r1.004,560.3120623907896
496,BY_y0.00_n0.92_r1.004,559.0490387507899
