,combination,extinction_size
387,BY_y_cv0.10_cy8.60,1121.67955732967
388,BY_y_cv0.10_cy8.70,1105.1438041643735
389,BY_y_cv0.10_cy8.80,1088.3760305453798
390,BY_y_cv0.10_cy8.90,1071.8541645418004
391,BY_y_cv0.10_cy9.00,1054.8752134877004
392,BY_y_cv0.10_cy9.10,1038.2094792670414
393,BY_y_cv0.10_cy9.20,1021.8711987155168
394,BY_y_cv0.10_cy9.30,1005.2197771046854
395,BY_y_cv0.10_cy9.40,988.537314368684
396,BY_y_cv0.10_cy9.50,972.2483890511933
397,BY_y_cv0.10_cy9.60,956.0173087481642
398,BY_y_cv0.10_cy9.70,939.8617746965411
399,BY_y_cv0.10_cy9.80,923.7795587952976
400,BY_y_cv0.10_cy9.90,907.7977499395929
401,BY_y_cv0.10_cy10.00,892.0807250444865
402,BY_y_cv0.10_cy10.10,876.6170089679874
403,BY_y_cv0.10_cy10.20,860.8503108694991
404,BY_y_cv0.10_cy10.30,845.8266209878055
405,BY_y_cv0.10_cy10.40,830.710147788902
406,BY_y_cv0.10_cy10.50,815.6350241459029
407,BY_y_cv0.10_cy10.60,800.8361251758259
408,BY_y_cv0.10_cy10.70,786.3908929648954
409,BY_y_cv0.10_cy10.80,772.2780463249696
410,BY_y_cv0.10_cy10.90,757.9187722410052
411,BY_y_cv0.10_cy11.00,744.2488281847125
412,BY_y_cv0.10_cy11.10,730.5746976389403
413,BY_y_cv0.10_cy11.20,717.0215273132418
414,BY_y_cv0.10_cy11.30,703.7285226685161
415,BY_y_cv0.10_cy11.40,690.9104078582913
416,BY_y_cv0.10_cy11.50,677.9464983819582
417,BY_y_cv0.10_cy11.60,665.3306213162394
418,BY_y_cv0.10_cy11.70,653.0883675340322
419,BY_y_cv0.10_cy11.80,640.9591819783265
420,BY_y_cv0.10_cy11.90,628.8602497916567
421,BY_y_cv0.10_cy12.00,617.2007391599433
422,BY_y_cv0.10_cy12.10,605.9220460311954
423,BY_y_cv0.10_cy12.20,594.5864947348007
424,BY_y_cv0.10_cy12.30,583.556227554895
425,BY_y_cv0.10_cy12.40,572.8108301953707
426,BY_y_cv0.10_cy12.50,562.2124932024394
427,BY_y_cv0.10_cy12.60,551.8095591652162
428,BY_y_cv0.10_cy12.70,541.4440364695242
429,BY_y_cv0.10_cy12.80,531.585832915719
430,BY_y_cv0.10_cy12.90,521.8123809972277
431,BY_y_cv0.10_cy13.00,512.0639895940026
432,BY_y_cv0.10_cy13.10,502.85320520549266
433,BY_y_cv0.10_cy13.20,493.3735234806474
434,BY_y_cv0.10_cy13.30,484.354028174534
435,BY_y_cv0.10_cy13.40,475.5808001016257
