,combination,extinction_size,wv,wy
215,BY_y_cv0.03_cy0.02,56.787321038169466,0.03,0.02
216,BY_y_cv0.03_cy0.03,57.33551529848464,0.03,0.03
217,BY_y_cv0.03_cy0.04,57.908429931285,0.03,0.04
218,BY_y_cv0.03_cy0.05,58.5037339915778,0.03,0.05
219,BY_y_cv0.03_cy0.06,59.12415088896615,0.03,0.06
220,BY_y_cv0.03_cy0.07,59.76227726325506,0.03,0.07
221,BY_y_cv0.03_cy0.08,60.44148680337221,0.03,0.08
222,BY_y_cv0.03_cy0.09,61.140377139691935,0.03,0.09
223,BY_y_cv0.03_cy0.10,61.87515046213139,0.03,0.1
224,BY_y_cv0.03_cy0.11,62.62895160246152,0.03,0.11
225,BY_y_cv0.03_cy0.12,63.42262655711238,0.03,0.12
226,BY_y_cv0.03_cy0.13,64.24751904936366,0.03,0.13
227,BY_y_cv0.03_cy0.14,65.11598832417604,0.03,0.14
228,BY_y_cv0.03_cy0.15,66.01191787119389,0.03,0.15
229,BY_y_cv0.03_cy0.16,66.96560633414192,0.03,0.16
230,BY_y_cv0.03_cy0.17,67.95646788525245,0.03,0.17
231,BY_y_cv0.03_cy0.18,68.99748289042019,0.03,0.18
232,BY_y_cv0.03_cy0.19,70.09286332531794,0.03,0.19
233,BY_y_cv0.03_cy0.20,71.25162159588837,0.03,0.2
234,BY_y_cv0.03_cy0.21,72.45807006971481,0.03,0.21
235,BY_y_cv0.03_cy0.22,73.73244438252458,0.03,0.22
236,BY_y_cv0.03_cy0.23,75.07596539356237,0.03,0.23
237,BY_y_cv0.03_cy0.24,76.51022146796113,0.03,0.24
238,BY_y_cv0.03_cy0.25,78.00789741474581,0.03,0.25
239,BY_y_cv0.03_cy0.26,79.59797527824031,0.03,0.26
240,BY_y_cv0.03_cy0.27,81.29568440140231,0.03,0.27
241,BY_y_cv0.03_cy0.28,83.09492983141263,0.03,0.28
242,BY_y_cv0.03_cy0.29,85.02485504460692,0.03,0.29
