,bv_lower,bv_upper,by_lower,by_upper
95,1.3225535711966976,2.216117240037347,1.9428166538501832,2.270749902624398
96,1.3445843357164067,2.19735112264699,2.007356285343017,2.3479315185996366
97,1.3888357566473095,2.2205401631606967,2.093244617070281,2.4534027282158655
98,1.456476377271959,2.2842171067945882,2.2064635965471378,2.59551104488765
99,1.5460424101764985,2.3956398586193184,2.3511626162723056,2.7719081241596437
100,1.654045002811875,2.5506490767090284,2.532878145144617,2.991843246629328
101,1.790616902611247,2.7547447653557353,2.755725205559155,3.2689063341562403
102,1.968464805420255,3.016087524045032,3.043664063147222,3.62401486668523
103,2.1896085685552293,3.3474113744528364,3.4114086501853653,4.078736481779911
104,2.4654229669327554,3.781064457825493,3.8829944004063974,4.662863298263742
105,2.8082934542427282,4.332935454430948,4.494872589419475,5.425000310913579
106,3.238355559595294,5.048725814645567,5.301181893978742,6.458252055690114
107,3.763847034661496,5.918532396652174,6.374614664809229,7.870421450146452
108,4.426173573592127,7.077291480272775,7.848566566063862,9.816713406201172
109,5.261862321093781,8.64651729584655,9.901909590674656,12.580599873425767
110,6.327021445528849,10.541446510984603,12.815403220305011,16.551711068918173
111,7.719620799938206,13.07902523114654,17.058986779127437,22.4546284099382
112,9.482815760591352,16.36636948810461,23.330484695190368,31.34388840211255
113,11.752689053183332,20.817825792742507,32.92632691783945,44.93300883335619
114,14.521111672842432,26.434567770886254,47.57685189993988,66.15616217087972
115,18.013302686493354,33.50708928649088,70.26318256873199,98.80949646260683
116,22.21741275756606,42.09694970357132,104.7636974248127,148.61433760105916
117,27.178257692072027,51.57079257715971,156.89763568812205,223.1518891662333
118,32.840503452918206,62.04755770730868,231.9824653551441,328.6061624493487
119,38.93992574193157,72.21030307560486,333.610793958769,466.4463859591247
120,44.69473444130771,80.78710930996094,456.5340740050396,627.7659174834481
121,50.13234280616034,86.50854735988553,586.7829512485202,793.5210942069175
122,53.5432501807155,87.30699439439293,689.1561321580457,912.801569393415
123,55.377279733106214,84.71176929622165,739.6694853890272,957.9756942497955
124,55.31473960229507,78.21418180381175,717.9972936787499,913.1874387039919
125,52.98669797622714,69.85812596183558,627.2431794671774,800.1627854740924
126,48.61405122136163,61.74048865251588,490.38330334706626,634.3637895030673
127,42.911443472191344,53.820597325884734,351.497656229625,468.5436198294742
128,35.39572215116194,46.287539161693104,232.24391067566955,320.4628687871734
129,28.317638129092963,39.27039492850664,140.05609546880638,204.84938790733239
130,22.43278742140532,33.32582772007545,79.30567540575245,121.5494155012153
131,17.56146600860486,28.058041372731108,42.38147033019351,67.8030630865779
132,13.624994401070802,23.37859932500721,21.81115568170084,36.141617625761604
133,10.510748320228132,19.257869520314635,11.242278687217755,18.74570876587573
134,8.073273443013637,15.935444046505518,6.176496211697777,9.924484274264042
135,6.2667700210168595,13.08413174827062,3.8572865812284385,5.674547646756763
136,4.876610521273444,10.70485935630065,2.8240810089101087,3.7293739725648836
137,3.8566355206942062,8.812940733771123,2.338111681976416,2.876785555194283
138,3.103302008647899,7.267273775410276,2.1117913993349924,2.4817511410369657
139,2.557766193905179,6.01198467541549,1.979533972878579,2.2867516562056895
140,2.1619896885278043,5.093269548074238,1.8938484468892338,2.1747188928990937
141,1.897088035406736,4.38855910469775,1.8379675314030468,2.1068993857810665
142,1.7053521385369772,3.8306287009877886,1.802981329909441,2.0626897310257264
143,1.5659448310907869,3.391724221993071,1.7825131847156206,2.038391566292639
144,1.4875325448195293,3.0988919410542843,1.7767731911729876,2.0335765118765625
145,1.4330600719762137,2.8879992027102706,1.7874133410068789,2.046089466712755
146,1.4182316207644718,2.758342795441874,1.811761264759827,2.0737215936699283
147,1.4244440061423609,2.6671312236980147,1.8538751221619583,2.121084905112259
148,1.4569766956825827,2.621912078318965,1.9117936532105337,2.1860009204426714
149,1.5161134615655205,2.6376407159705346,1.987590440538656,2.2763113666216404
150,1.595402600074861,2.698678464344943,2.083885925129784,2.3891446997346386
151,1.6989339852300762,2.8188494798867887,2.2052671703596762,2.5321558896603236
152,1.8337231071155105,3.0079310667868424,2.3597081247348894,2.7058236695257585
153,2.004459578016611,3.250811408574188,2.5455455092006183,2.9216097884318337
154,2.214195879395369,3.5755844886521673,2.7793811930084487,3.1962413597188783
155,2.476469359078307,4.001355348324044,3.0700653105566666,3.5389797186653005
156,2.8065883050726455,4.534118070303644,3.4254203212135415,3.96980155305165
157,3.221652659630861,5.209527073041425,3.8809024973330577,4.516333531310019
158,3.7435836654695906,6.08470415960087,4.453903533354426,5.228119273092326
159,4.415577324609911,7.199310477356486,5.19689296810951,6.1611292207229305
160,5.277296207360458,8.618022830416747,6.165009020601317,7.393527041404367
161,6.375239178587209,10.449806336175854,7.43376820888225,9.065137195796265
162,7.810355408476463,12.928036026748414,9.125437364619955,11.339423824479868
163,9.665565943428655,16.139620246635122,11.372141613991566,14.594036110490235
164,12.083897285307735,20.099431891692237,14.445108736429225,19.281475081114976
165,15.26818586688716,25.244695979190347,18.658292688263035,25.847446397299894
166,19.224527684015506,31.888773792913785,24.438675863012627,35.12940887109659
167,24.32348961535217,40.169483313513,32.23586476385809,48.725699408255736
168,30.598001413033057,49.83302385160103,42.57976269002289,67.59342394931122
169,38.10285463642309,60.677875598175056,56.3521966249844,94.98995884539511
170,46.383760848651605,72.26981098865241,73.53682810385783,131.07737599617812
171,55.22332279250331,83.32045931397347,94.61123091272528,178.02083673615792
172,63.603178216209784,92.06677808045616,117.2164404872633,234.9991856591458
173,70.50328181248045,98.00958398244259,140.14685713653753,293.3383448488082
174,74.20639971459313,99.41451608700991,160.18762907344532,344.1069244645554
175,74.47931901825851,95.69869942755885,173.03470355498237,375.9451493416567
176,71.208364596702,88.95418718513106,176.10493540775568,380.1752900350509
177,64.6539531715286,80.014101642905,170.23465099084729,360.67651487920335
178,55.86932991232199,69.77806163602395,153.42887869714178,314.794670206143
179,45.66115230725528,58.8758630382133,128.0663494770376,254.13737079361232
180,36.45975741861438,48.877907876164436,98.77100261056812,189.0981965322565
181,28.47454114333009,39.7964964977002,71.13936103167828,129.9867685947561
182,21.910517446009912,31.76153285799051,48.02328045548458,84.34889659269044
183,16.60809281053336,25.069159039348634,30.511716172028176,51.42754714942679
184,12.413585924629842,19.65268712191506,18.619518436325947,30.144385287328873
185,9.350622205982978,15.388045070174512,11.050193820138649,17.207960905789864
186,7.053981138792319,11.987048902108137,6.710899995380905,10.043464160789053
187,5.333106423971128,9.347394298528165,4.359917902671699,6.209705159100519
188,4.065958188185922,7.342341962775053,3.1790269771629194,4.2563384496559
189,3.14969215038866,5.7890681836313655,2.589772662017695,3.2854151310325785
190,2.4986080648704676,4.629813641936638,2.285645115207459,2.788261733604788
191,2.045574739038268,3.763126760111061,2.11473413666491,2.5249193359490603
192,1.7247241439322096,3.125517709158231,2.0041208108043578,2.3661140382994175
193,1.5132080127781395,2.667075189281398,1.9349128711274366,2.273457377362867
