,combination,extinction_size
223,BY_y_cv0.02_cy0.21,170.74261779947867
224,BY_y_cv0.02_cy0.22,170.72914617739264
225,BY_y_cv0.02_cy0.23,170.7315735642151
226,BY_y_cv0.02_cy0.24,170.73291943301484
227,BY_y_cv0.02_cy0.25,170.73271869554048
228,BY_y_cv0.02_cy0.26,170.7207829196073
229,BY_y_cv0.02_cy0.27,170.70669745795
230,BY_y_cv0.02_cy0.28,170.71583036641476
231,BY_y_cv0.02_cy0.29,170.7232202378091
232,BY_y_cv0.02_cy0.30,170.73054815681007
233,BY_y_cv0.02_cy0.31,170.68466996303047
234,BY_y_cv0.02_cy0.32,170.69081092454837
235,BY_y_cv0.02_cy0.33,170.67060977220083
236,BY_y_cv0.02_cy0.34,170.66517266434624
237,BY_y_cv0.02_cy0.35,170.68129456982513
238,BY_y_cv0.02_cy0.36,170.67581359820016
239,BY_y_cv0.02_cy0.37,170.67031140294637
240,BY_y_cv0.02_cy0.38,170.66478826765777
241,BY_y_cv0.02_cy0.39,170.67757126194044
242,BY_y_cv0.02_cy0.40,170.67159176062884
243,BY_y_cv0.02_cy0.41,170.66600901297392
244,BY_y_cv0.02_cy0.42,170.66040593764797
245,BY_y_cv0.02_cy0.43,170.65478272086168
246,BY_y_cv0.02_cy0.44,170.6491204808861
247,BY_y_cv0.02_cy0.45,170.6450324958159
248,BY_y_cv0.02_cy0.46,170.6393499454391
249,BY_y_cv0.02_cy0.47,170.64048275653056
250,BY_y_cv0.02_cy0.48,170.6328757304351
251,BY_y_cv0.02_cy0.49,170.62713554325893
252,BY_y_cv0.02_cy0.50,170.62137665251086
253,BY_y_cv0.02_cy0.51,170.6155992808597
254,BY_y_cv0.02_cy0.52,170.6098036558846
255,BY_y_cv0.02_cy0.53,170.60680774535595
256,BY_y_cv0.02_cy0.54,170.60097617138837
257,BY_y_cv0.02_cy0.55,170.59506819867767
258,BY_y_cv0.02_cy0.56,170.5953777726587
259,BY_y_cv0.02_cy0.57,170.5894939602946
260,BY_y_cv0.02_cy0.58,170.5835933422272
261,BY_y_cv0.02_cy0.59,170.57780140576762
262,BY_y_cv0.02_cy0.60,170.57186794294591
263,BY_y_cv0.02_cy0.61,170.5659217233366
264,BY_y_cv0.02_cy0.62,170.56394926947488
265,BY_y_cv0.02_cy0.63,170.55797472636064
266,BY_y_cv0.02_cy0.64,170.55318327626375
267,BY_y_cv0.02_cy0.65,170.54717517315171
268,BY_y_cv0.02_cy0.66,170.54113645311648
269,BY_y_cv0.02_cy0.67,170.53509925204364
270,BY_y_cv0.02_cy0.68,170.52904860900094
271,BY_y_cv0.02_cy0.69,170.53251875137647
272,BY_y_cv0.02_cy0.70,170.52625251565206
273,BY_y_cv0.02_cy0.71,170.52014276661774
274,BY_y_cv0.02_cy0.72,170.51403811012645
275,BY_y_cv0.02_cy0.73,170.5079207495528
276,BY_y_cv0.02_cy0.74,170.49934286532277
277,BY_y_cv0.02_cy0.75,170.49320172475348
